Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Previous_Scores,Motivation_Level,Tutoring_Sessions,Family_Income,Teacher_Quality,Peer_Influence,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Study_Efficiency,High_Support,Family_Education_Support,Exam_Score
23,77,2,2,1,72,2,2,0,0,0,0,0,1,0.3150684931506849,0,0,66.675283
20,72,0,1,1,90,1,0,1,0,0,0,2,2,0.2197802197802197,0,1,67.481677
22,82,1,2,0,67,1,1,1,0,1,1,2,2,0.3235294117647059,0,0,66.845495
30,70,2,0,1,83,2,1,0,2,1,0,2,2,0.3571428571428571,0,0,68.629681
14,62,0,2,0,100,1,1,1,2,1,0,1,2,0.1386138613861386,0,0,62.90873
27,86,2,2,0,74,2,2,0,0,1,0,1,2,0.36,0,0,70.192662
28,65,2,2,1,59,0,2,1,2,1,0,1,2,0.4666666666666667,0,0,65.972167
8,88,2,2,1,92,0,1,1,2,0,0,0,2,0.086021505376344,0,0,65.351716
18,67,0,1,0,73,1,0,2,2,1,0,2,1,0.2432432432432432,0,1,63.90127
32,93,2,2,1,93,0,1,2,0,0,0,2,0,0.3404255319148936,0,0,72.742579
22,99,0,1,0,65,2,3,1,1,1,0,2,2,0.3333333333333333,0,1,73.026727
19,61,2,2,0,74,1,2,0,2,0,0,2,0,0.2533333333333333,0,0,61.210036
26,68,2,0,0,98,1,2,2,2,1,0,0,0,0.2626262626262626,1,0,67.124596
25,92,1,0,0,72,2,1,2,2,2,0,1,2,0.3424657534246575,0,0,71.005571
23,95,0,1,0,92,0,1,1,2,2,0,1,2,0.2473118279569892,0,0,72.547988
38,86,0,2,0,88,0,1,1,0,0,0,1,1,0.4269662921348314,0,0,73.487045
14,96,2,1,1,69,0,0,2,2,0,1,0,2,0.2,0,0,66.340133
27,85,0,2,1,66,2,2,1,0,1,1,1,1,0.4029850746268656,0,0,69.532539
19,70,2,2,1,67,2,5,2,1,2,0,2,1,0.2794117647058823,0,0,65.944889
16,73,0,1,1,58,2,1,2,2,1,0,1,2,0.2711864406779661,0,0,64.102103
22,86,0,2,1,56,2,1,0,2,2,0,1,1,0.3859649122807017,0,0,68.358048
23,94,1,2,0,58,0,5,1,1,1,0,1,2,0.3898305084745763,0,0,71.55761
19,62,2,0,1,82,2,0,1,0,0,1,0,1,0.2289156626506024,0,0,61.801984
20,73,2,1,1,93,0,1,1,0,0,0,1,0,0.2127659574468085,0,0,65.732016
23,90,0,0,0,87,0,1,1,2,1,0,1,2,0.2613636363636363,0,0,71.070155
17,76,0,2,1,94,2,3,2,2,1,0,1,1,0.1789473684210526,0,0,66.92436
14,87,2,0,1,61,2,0,1,2,1,0,1,0,0.2258064516129032,0,0,64.706677
6,84,2,2,1,88,2,1,1,2,2,0,2,1,0.0674157303370786,0,0,64.167563
30,77,2,1,1,70,2,0,2,0,1,0,1,1,0.4225352112676056,0,0,68.358718
14,90,2,0,1,60,2,2,2,2,1,0,2,2,0.2295081967213114,1,0,67.665891
20,81,2,1,1,53,1,0,2,1,1,0,1,0,0.3703703703703703,0,0,64.914876
25,72,2,2,1,52,1,0,2,2,2,0,2,2,0.4716981132075472,0,0,65.603863
17,82,2,2,1,59,2,3,2,2,2,0,0,2,0.2833333333333333,0,0,66.54296
14,83,2,1,1,82,2,0,2,2,2,0,1,2,0.1686746987951807,0,0,66.052421
15,64,1,1,1,84,1,0,2,2,1,0,0,0,0.1764705882352941,0,0,61.657092
11,78,0,2,1,100,0,1,1,2,1,0,1,1,0.1089108910891089,0,0,65.511304
25,65,1,2,0,94,2,1,1,0,0,0,0,2,0.2631578947368421,0,0,65.64469
25,87,2,1,1,74,1,0,2,0,1,1,1,2,0.3333333333333333,0,0,68.905884
20,62,2,1,1,80,0,1,2,0,1,0,0,1,0.2469135802469135,0,0,63.698635
22,91,0,2,0,85,1,2,2,2,2,0,1,1,0.2558139534883721,0,0,70.50243
19,70,2,2,1,90,1,2,1,2,2,0,1,1,0.2087912087912088,0,0,65.730643
26,64,0,2,0,91,0,1,2,2,2,0,1,2,0.2826086956521739,0,0,66.796043
11,68,0,2,1,87,2,1,1,2,2,1,1,0,0.125,0,0,61.729446
31,88,2,0,0,83,2,0,1,2,1,0,1,2,0.369047619047619,0,0,71.239037
15,81,0,2,0,68,1,0,2,0,2,0,1,2,0.217391304347826,0,0,65.734114
14,92,2,0,1,58,0,1,0,1,2,0,1,2,0.2372881355932203,0,0,68.183782
24,61,1,2,0,94,2,3,2,0,1,1,0,1,0.2526315789473684,0,0,64.569451
14,66,0,1,0,96,2,3,1,0,0,0,1,2,0.1443298969072164,0,0,64.468989
19,65,2,0,1,60,1,1,1,2,1,0,2,1,0.3114754098360656,0,0,62.939465
17,78,2,1,1,51,0,1,1,2,1,0,1,1,0.3269230769230769,0,0,64.310457
21,75,0,0,0,70,0,1,2,0,1,0,2,2,0.2957746478873239,0,1,68.078543
22,82,2,1,0,54,2,2,2,2,1,0,0,1,0.4,0,0,66.043059
29,78,0,2,0,92,2,2,1,2,0,0,1,2,0.3118279569892473,0,0,69.647634
23,80,2,2,1,91,1,5,0,2,0,0,1,2,0.25,0,0,69.782536
20,93,2,0,0,97,2,1,1,2,1,0,2,1,0.2040816326530612,0,0,69.854757
7,60,2,0,1,69,1,0,1,2,2,0,0,1,0.1,0,0,58.833934
20,83,2,2,0,51,2,2,1,0,0,0,2,2,0.3846153846153846,0,0,65.940499
23,81,2,0,0,59,1,2,2,0,1,0,0,2,0.3833333333333333,1,0,68.39741
27,67,1,2,1,90,2,2,0,0,1,0,1,1,0.2967032967032967,0,0,67.691686
23,64,2,0,1,68,1,3,1,0,1,0,1,2,0.3333333333333333,1,0,66.681679
16,68,2,2,1,85,2,1,2,2,2,0,0,2,0.1860465116279069,0,0,63.88967
23,71,2,2,1,50,2,1,1,0,2,0,0,2,0.4509803921568627,0,0,65.472794
20,72,2,1,1,89,1,1,1,2,0,0,1,0,0.2222222222222222,0,0,64.670889
16,96,2,2,0,50,0,1,2,0,2,0,0,2,0.3137254901960784,0,0,67.941201
19,79,2,2,0,76,0,1,2,2,1,0,1,2,0.2467532467532467,0,0,65.754258
17,82,0,2,1,65,2,1,2,2,2,0,1,2,0.2575757575757575,0,0,66.747262
23,68,2,2,1,80,2,1,2,1,1,0,1,2,0.2839506172839506,0,0,65.425962
22,77,2,0,0,71,0,3,1,2,0,0,1,0,0.3055555555555556,1,0,66.707509
11,89,2,2,1,63,2,0,2,2,1,0,0,2,0.171875,0,0,64.49821
28,74,2,2,1,96,1,0,0,0,1,0,1,2,0.2886597938144329,0,0,69.045014
17,85,0,2,1,87,2,1,1,2,1,0,1,2,0.1931818181818181,0,0,68.048542
8,84,2,1,1,56,1,1,1,2,2,0,1,1,0.1403508771929824,0,0,63.423075
20,87,2,2,0,89,1,2,2,2,1,0,1,1,0.2222222222222222,0,0,68.083506
37,79,2,0,0,95,0,1,0,2,0,0,1,2,0.3854166666666667,0,0,72.115493
20,74,0,0,0,69,1,2,0,0,1,0,0,2,0.2857142857142857,1,0,67.583402
15,67,1,2,1,59,1,0,1,2,1,0,1,2,0.25,0,0,61.851735
24,77,2,2,1,64,2,2,0,2,2,0,1,2,0.3692307692307692,0,0,67.709898
18,76,1,0,1,82,0,1,2,2,0,0,0,2,0.216867469879518,0,0,66.120604
13,73,2,2,1,51,2,1,1,2,2,0,2,2,0.25,0,0,62.579836
17,64,2,2,1,60,2,1,2,2,2,1,1,2,0.2786885245901639,0,0,61.389546
20,84,2,0,1,57,0,2,2,2,2,0,1,0,0.3448275862068966,1,0,67.932868
27,68,0,2,0,52,2,1,2,1,1,0,2,0,0.5094339622641509,0,1,65.540601
16,62,2,2,1,79,1,2,2,2,1,0,1,2,0.2,0,0,62.55408
18,99,2,0,1,51,2,1,2,1,1,0,2,2,0.3461538461538461,0,0,69.3985
15,86,2,0,0,99,0,2,2,2,1,0,1,2,0.15,1,0,68.838838
15,78,2,0,1,63,2,2,2,2,2,0,2,0,0.234375,1,0,65.30133
18,75,2,2,1,87,1,3,1,2,0,0,2,2,0.2045454545454545,0,0,66.227037
12,68,2,0,0,98,2,1,2,0,1,0,1,2,0.1212121212121212,0,0,63.474945
23,73,0,0,0,78,1,0,0,2,1,0,1,1,0.2911392405063291,0,0,66.288855
21,77,2,0,1,70,1,2,0,2,2,0,0,2,0.2957746478873239,1,0,68.409299
11,97,2,2,1,83,1,4,2,0,0,0,1,0,0.1309523809523809,0,0,68.159403
7,79,1,0,1,85,2,0,2,2,0,0,1,2,0.0813953488372093,0,0,63.03059
26,90,1,0,1,81,2,1,1,2,1,0,2,2,0.3170731707317073,0,0,71.5928
16,89,0,2,0,96,2,2,2,1,2,0,0,0,0.1649484536082474,0,0,68.499229
17,89,2,2,1,82,2,3,2,2,2,0,0,2,0.2048192771084337,0,0,69.069187
17,98,0,0,0,68,2,2,2,2,2,0,1,2,0.2463768115942029,1,0,71.112548
7,62,0,2,1,51,1,0,2,1,2,0,0,1,0.1346153846153846,0,0,58.558062
19,69,2,0,1,82,0,1,1,2,0,0,1,2,0.2289156626506024,0,0,64.851826
36,96,2,1,0,96,2,1,1,0,2,0,0,1,0.3711340206185567,0,0,75.486623
12,85,2,2,1,78,0,3,2,2,1,0,0,2,0.1518987341772152,0,0,66.446779
16,62,1,2,0,74,2,2,0,0,1,0,1,1,0.2133333333333333,0,0,62.165852
27,98,2,0,0,82,2,0,0,2,2,0,1,2,0.3253012048192771,0,0,72.679344
33,61,1,1,1,96,2,2,2,2,0,0,1,2,0.3402061855670103,0,0,68.006077
16,94,1,2,0,85,2,3,1,0,1,0,1,2,0.1860465116279069,0,0,69.865022
19,81,0,2,0,100,2,1,1,2,0,0,2,1,0.1881188118811881,0,1,67.926686
19,73,2,2,1,85,2,1,2,2,1,0,1,0,0.2209302325581395,0,0,64.323534
30,73,0,2,1,100,2,2,0,0,1,0,1,2,0.297029702970297,0,0,71.074636
11,94,0,1,1,61,2,1,2,1,1,0,0,1,0.1774193548387097,0,0,66.627174
27,91,2,1,0,57,2,0,1,1,1,0,2,1,0.4655172413793103,0,0,69.053938
20,78,0,2,0,80,0,2,0,2,2,0,0,2,0.2469135802469135,0,0,67.925318
25,66,2,2,1,99,2,2,2,2,2,0,0,2,0.25,0,0,67.210683
12,61,1,2,1,92,2,2,0,2,1,1,1,1,0.1290322580645161,0,0,61.048757
23,87,2,2,1,98,2,3,2,2,1,0,0,2,0.2323232323232323,0,0,70.67093
14,62,2,2,0,73,2,1,1,2,1,0,1,2,0.1891891891891892,0,0,60.589418
27,73,1,1,0,97,2,2,2,0,1,0,1,2,0.2755102040816326,0,0,69.163025
16,72,2,0,0,58,1,1,2,2,0,0,1,0,0.2711864406779661,0,0,61.551672
29,64,2,0,1,74,2,0,0,2,2,0,2,2,0.3866666666666666,0,0,66.811104
17,70,0,2,0,82,1,2,0,0,0,1,1,1,0.2048192771084337,0,0,63.631243
13,96,2,2,0,51,2,1,1,1,2,0,2,2,0.25,0,0,66.783897
34,92,0,2,0,68,1,0,2,0,2,0,0,2,0.4927536231884058,0,0,73.346365
24,95,0,2,0,66,1,2,0,0,0,0,1,2,0.3582089552238806,0,0,71.108471
13,77,0,0,1,69,2,2,1,0,1,0,0,1,0.1857142857142857,1,0,65.972644
17,87,0,0,1,94,2,2,1,2,1,0,1,1,0.1789473684210526,1,0,69.975334
34,98,2,0,0,79,2,1,1,2,1,0,0,2,0.425,0,0,74.259253
15,89,0,1,0,73,0,2,1,1,1,0,1,2,0.2027027027027027,0,0,68.274452
26,65,1,2,0,53,1,3,0,2,2,0,1,2,0.4814814814814814,0,0,65.844062
15,77,2,2,1,52,2,1,2,2,1,0,0,2,0.2830188679245283,0,0,63.21397
24,91,1,2,1,52,2,1,1,2,1,0,1,2,0.4528301886792453,0,0,69.234296
13,73,2,0,1,60,0,0,0,0,1,0,0,2,0.2131147540983606,0,0,63.423497
20,81,1,2,0,54,1,0,1,1,2,0,0,1,0.3636363636363636,0,0,65.495563
17,63,2,2,0,92,2,2,1,2,0,0,1,2,0.1827956989247312,0,0,62.547428
25,73,0,2,0,54,0,2,2,2,1,0,1,1,0.4545454545454545,0,0,66.004487
19,89,2,1,0,74,2,1,1,2,2,0,1,1,0.2533333333333333,0,0,67.764358
15,83,2,0,0,98,1,3,1,0,2,0,1,1,0.1515151515151515,1,0,69.134145
15,98,2,2,1,89,1,2,1,1,1,0,0,1,0.1666666666666666,0,0,69.727601
28,73,2,0,1,96,2,1,2,2,0,0,2,2,0.2886597938144329,0,0,68.522725
14,89,0,0,1,73,2,2,2,0,0,0,0,2,0.1891891891891892,1,0,68.668337
21,60,0,1,0,78,2,2,2,0,2,0,1,2,0.2658227848101265,0,0,64.82589
23,68,2,0,0,91,1,5,1,2,1,0,0,2,0.25,1,0,68.341771
14,94,2,0,1,71,2,0,2,2,0,1,0,1,0.1944444444444444,0,0,65.525867
19,96,1,1,1,70,0,0,1,2,2,0,1,0,0.2676056338028169,0,0,69.32083
23,91,2,1,1,98,0,0,1,0,0,0,1,2,0.2323232323232323,0,0,70.909719
18,98,1,2,0,53,2,0,0,2,1,0,1,1,0.3333333333333333,0,0,67.480422
24,89,0,2,1,99,2,2,1,0,1,0,1,2,0.24,0,0,72.376914
15,83,2,1,1,91,2,0,1,2,1,0,0,0,0.1630434782608695,0,0,65.372689
26,93,0,2,0,85,1,1,0,0,2,0,0,1,0.3023255813953488,0,0,72.252213
22,79,1,0,1,96,2,1,0,2,1,0,0,1,0.2268041237113402,0,0,68.530312
16,71,2,2,0,51,2,0,1,2,0,0,2,0,0.3076923076923077,0,0,60.029431
26,71,2,2,1,91,2,2,1,2,1,0,1,1,0.2826086956521739,0,0,67.268753
21,74,1,2,0,55,0,3,1,2,2,0,0,2,0.375,0,0,66.191886
20,64,2,0,0,53,0,4,0,2,1,0,0,1,0.3703703703703703,1,0,64.223776
17,72,0,2,1,94,0,1,1,2,1,0,1,1,0.1789473684210526,0,0,65.696729
24,72,0,2,1,95,2,3,1,2,0,0,2,2,0.25,0,1,69.260957
23,74,2,2,0,67,2,3,0,2,0,0,1,0,0.3382352941176471,0,0,64.805931
22,83,1,0,1,53,2,0,1,1,0,0,2,2,0.4074074074074074,0,0,67.027452
20,79,2,2,0,83,2,3,1,2,1,0,0,1,0.238095238095238,0,0,66.522616
20,99,1,2,0,80,0,0,2,0,0,0,2,2,0.2469135802469135,0,0,70.157532
24,99,2,2,0,51,1,1,1,2,1,0,1,2,0.4615384615384615,0,0,69.98474
29,66,0,0,0,66,2,0,2,2,0,0,2,2,0.4328358208955223,0,1,66.634961
23,60,0,2,1,56,1,0,1,2,0,0,1,1,0.4035087719298245,0,0,62.050485
20,89,0,2,1,70,1,1,1,2,2,0,1,1,0.2816901408450704,0,0,69.058347
12,67,2,0,1,77,2,2,1,0,2,0,0,2,0.1538461538461538,1,0,64.389853
18,86,2,2,1,88,2,2,2,0,1,0,0,0,0.2022471910112359,0,0,67.627993
17,86,2,0,0,97,0,3,0,2,1,0,0,2,0.173469387755102,1,0,69.915776
30,62,2,0,1,63,2,2,1,0,2,0,1,1,0.46875,1,0,67.534339
15,71,1,2,0,60,0,5,1,0,2,0,1,0,0.2459016393442623,0,0,64.560808
19,97,1,0,0,78,2,0,2,2,0,0,1,1,0.240506329113924,0,0,68.582493
20,99,2,2,0,75,2,2,1,0,0,0,2,0,0.2631578947368421,0,0,69.266361
31,92,2,2,1,76,2,2,2,0,2,1,1,0,0.4025974025974026,0,0,71.718631
21,61,2,2,0,90,1,2,2,1,1,0,1,2,0.2307692307692307,0,0,63.996917
12,79,1,0,0,55,2,1,1,0,1,0,0,0,0.2142857142857142,0,0,62.877364
11,82,2,2,1,88,2,1,1,2,0,0,2,1,0.1235955056179775,0,0,64.136826
17,61,1,0,1,75,2,2,2,0,0,0,0,2,0.2236842105263158,1,0,63.725102
15,89,2,1,0,55,2,1,2,2,2,0,2,1,0.2678571428571428,0,0,65.627305
23,76,2,2,1,57,0,1,2,2,0,0,1,1,0.396551724137931,0,0,65.014752
20,81,0,2,1,51,0,3,2,2,1,1,1,2,0.3846153846153846,0,0,66.672173
15,72,2,1,1,80,2,4,2,0,1,0,0,1,0.1851851851851851,0,0,65.253992
8,95,2,2,0,73,1,2,2,2,1,0,0,2,0.1081081081081081,0,0,65.805864
13,89,1,0,1,98,2,0,2,2,0,0,1,2,0.1313131313131313,0,0,67.408224
29,62,1,0,1,53,0,0,1,2,2,0,0,1,0.5370370370370371,0,0,65.469742
23,74,0,1,0,100,1,2,0,1,2,0,1,2,0.2277227722772277,0,0,69.452025
27,95,1,0,1,94,0,2,2,2,1,0,2,0,0.2842105263157894,1,0,73.823935
17,72,1,2,0,96,0,2,1,0,1,0,1,2,0.1752577319587628,0,0,66.257278
19,74,2,0,0,82,0,2,1,2,1,0,1,1,0.2289156626506024,1,0,66.356753
23,68,1,1,1,92,2,3,1,0,1,0,1,2,0.2473118279569892,0,0,67.951966
20,99,2,1,1,97,1,4,0,2,1,0,0,2,0.2040816326530612,0,0,73.301751
